"","wijk_code","n","wijk_name"
"623","WK031201","6125","Wijk 01 Odijk"
"624","WK031202","2640","Wijk 02 Werkhoven"
"625","WK031300","22620","Wijk 00"
"626","WK021400","3620","Wijk 00 Buren"
"627","WK021401","4015","Wijk 01 Beusichem"
"628","WK021402","3375","Wijk 02 Zoelen"
"629","WK021403","6710","Wijk 03 Lienden"
"630","WK021404","2055","Wijk 04 Ingen"
"631","WK021405","7345","Wijk 05 Maurik"
"632","WK021406","650","Wijk 06 Ravenswaaij"
"633","WK050201","9290","Capelle West en 's Gravenland"
"634","WK050202","8045","Middelwatering West"
"635","WK050203","8390","Middelwatering Oost"
"636","WK050204","8330","Oostgaarde Zuid"
"637","WK050205","6515","Oostgaarde Noord"
"638","WK050206","6295","Schenkel"
"639","WK050207","14020","Schollevaar Zuid"
"640","WK050208","3360","Schollevaar Noord"
"641","WK050209","3690","Rivium"
"642","WK038300","4860","Wijk 00 Centrum"
"643","WK038301","5540","Wijk 01 Castricum-Noord"
"644","WK038302","8435","Wijk 02 Castricum-Oost"
"645","WK038303","760","Wijk 03 Castricum-Zuid"
"646","WK038304","3755","Wijk 04 Bakkum"
"647","WK038305","5085","Wijk 05 Akersloot"
"648","WK038306","150","Wijk 06 De Woude"
"649","WK038307","7780","Wijk 07 Limmen"
"650","WK010910","14590","Wijk 10 Coevorden"
"651","WK010911","915","Wijk 11 Steenwijksmoer"
"652","WK010912","190","Wijk 12 Nieuwe Krim"
"653","WK010913","85","Wijk 13 Weijerswold"
"654","WK010914","110","Wijk 14 Vlieghuis en Padhuis"
"655","WK010920","5415","Wijk 20 Dalen"
"656","WK010930","4345","Wijk 30 Oosterhesselen"
"657","WK010940","6855","Wijk 40 Sleen"
"658","WK010950","3230","Wijk 50 Zweeloo"
"659","WK170600","9520","Wijk 00 Budel"
"660","WK170601","2140","Wijk 01 Schoot"
"661","WK170602","1420","Wijk 02 Dorplein"
"662","WK170603","5175","Wijk 03 Maarheeze"
"663","WK170604","1840","Wijk 04 Soerendonk"
"664","WK170605","745","Wijk 05 Gastel"
"665","WK021600","17070","Culemborg Oost"
"666","WK021601","12875","Culemborg West"
"667","WK014801","15330","Dalfsen"
"668","WK014802","9560","Nieuwleusen"
"669","WK014803","4795","Lemelerveld"
"670","WK189100","7140","Wijk 00 Centrum"
"671","WK189101","1920","Wijk 01 Oost"
"672","WK189102","8940","Wijk 02 Zuid"
"673","WK189103","1135","Wijk 03 West"
"674","WK050311","13935","Wijk 11 Binnenstad"
"675","WK050312","9825","Wijk 12 Vrijenban"
"676","WK050313","13680","Wijk 13 Hof van Delft"
"677","WK050314","12775","Wijk 14 Voordijkshoorn"
"678","WK050316","80","Wijk 16 Delftse Hout"
"679","WK050322","7990","Wijk 22 Tanthof-West"
"680","WK050323","6090","Wijk 23 Tanthof-Oost"
"681","WK050324","14765","Wijk 24 Voorhof"
"682","WK050325","14525","Wijk 25 Buitenhof"
"683","WK050326","35","Wijk 26 Abtswoude"
"684","WK050327","1535","Wijk 27 Schieweg"
"685","WK050328","13980","Wijk 28 Wippolder"
"686","WK050329","370","Wijk 29 Ruiven"
"687","WK076201","13800","Deurne"
"688","WK076202","4485","Heiakker"
"689","WK076203","4065","Koolhof"
"690","WK076204","3200","Sint Jozefparochie"
"691","WK076205","1495","Vlierden"
"692","WK076206","3355","Liessel"
"693","WK076207","1865","Neerkant"
"694","WK076208","915","Helenaveen"
"695","WK015001","8900","Binnenstad"
"696","WK015002","2290","De Hoven"
"697","WK015003","11760","Zandweerd"
"698","WK015004","10725","Voorstad"
"699","WK015005","5370","Borgele en Platvoet"
"700","WK015006","12370","Keizerslanden"
"701","WK015007","5665","Rivierenwijk en Bergweide"
"702","WK015008","5840","Colmschate-Noord"
"703","WK015009","12560","Colmschate-Vijfhoek"
"704","WK015010","9115","Colmschate-Zuid"
"705","WK015011","4910","Diepenveen"
"706","WK015012","5940","Schalkhaar"
"707","WK015013","315","Okkenbroek"
"708","WK015014","1705","Lettele"
"709","WK015015","5925","Bathmen"
"710","WK038401","6615","Diemen Noord"
"711","WK038402","10755","Diemen Centrum"
"712","WK038403","7445","Diemen Zuid"
"713","WK038404","40","Bergwijkpark"
"714","WK038405","5345","Holland Park"
"715","WK038406","45","Bedrijventerreinen"
"716","WK038407","2580","Plantage de Sniep"
"717","WK038408","145","Buitengebied"
"718","WK198001","3835","Oudkarspel"
"719","WK198002","5985","Noord-Scharwoude"
"720","WK198003","6865","Zuid-Scharwoude"
"721","WK198004","6045","Broek op Langedijk"
"722","WK198005","5860","Sint-Pancras"
"723","WK198006","265","Koedijk"
"724","WK198010","2875","Schrijverswijk"
"725","WK198011","4330","Schilderswijk"
"726","WK198012","1540","Planetenwijk"
"727","WK198013","5085","Bomen- Recreatiewijk"
"728","WK198014","2710","Heemradenwijk"
"729","WK198015","3355","Edelstenenwijk"
"730","WK198016","2710","Molenwijk"
"731","WK198017","3350","Rivierenwijk"
"732","WK198018","2115","Stadshart"
"733","WK198019","1990","Broekhorn"
"734","WK198020","980","Bedrijventerrein Heerhugowaard"
"735","WK198021","3770","Butterhuizen"
"736","WK198022","4045","Oostertocht"
"737","WK198023","3890","Zuidwijk"
"738","WK198024","5585","Huygenhoek"
"739","WK198025","4510","Stad van de Zon"
"740","WK198026","4265","De Draai"
"741","WK198027","3370","De Noord"
"742","WK198028","720","t Kruis"
"743","WK177410","9020","Wijk 10 Denekamp"
"744","WK177411","960","Wijk 11 Lattrop-Breklenkamp"
"745","WK177412","755","Wijk 12 Tilligte"
"746","WK177413","615","Wijk 13 Agelo"
"747","WK177414","1230","Wijk 14 Noord Deurningen"
"748","WK177415","4490","Wijk 15 Ootmarsum"
"749","WK177416","3120","Wijk 16 Weerselo"
"750","WK177417","2345","Wijk 17 Rossum"
"751","WK177418","1705","Wijk 18 Saasveld"
"752","WK177419","2000","Wijk 19 Deurningen"
"753","WK177420","165","Wijk 20 Nutter"
"754","WK177421","320","Wijk 21 Oud Ootmarsum"
"755","WK022101","11080","Wijk 01"
"756","WK022201","4670","Centrum"
"757","WK022202","6555","Overstegen"
"758","WK022203","2935","Schoneveld"
"759","WK022204","4810","Oosseld / Vijverberg"
"760","WK022205","960","Verheulsweide (bedrijventerrein)"
"761","WK022206","9910","De Huet"
"762","WK022207","8990","Dichteren / De Hoop / Wijnbergen"
"763","WK022208","880","Keppelseweg (bedrijventerrein)"
"764","WK022209","7095","Bezelhorst / De Kruisberg / Ijkenberg"
"765","WK022211","5725","Gaanderen"
"766","WK022231","7095","Wehl / Nieuw Wehl"
"767","WK076601","24865","Dongen"
"768","WK076602","2230","'s Gravenmoer"
"769","WK050501","10390","Wijk 01 Binnenstad"
"770","WK050502","8195","Wijk 02 Noordflank"
"771","WK050503","11005","Wijk 03 Oud Krispijn"
"772","WK050504","4915","Wijk 04 Nieuw-krispijn"
"773","WK050505","11610","Wijk 05 Het Reeland"
"774","WK050506","5240","Wijk 06 Staart"
"775","WK050507","6560","Wijk 07 Wielwijk"
"776","WK050508","8550","Wijk 08 Crabbehof/Zuidhoven"
"777","WK050509","23070","Wijk 09 Sterrenburg"
"778","WK050510","12925","Wijk 10 Dubbeldam"
"779","WK050511","18340","Wijk 11 Stadspolders"
"780","WK050519","765","Wijk 19 Industriegebied West"
"781","WK050598","505","Wijk 98 Verspreide bebouwing"
"782","WK049800","8700","Hoogkarspel"
"783","WK049801","1830","Westwoud"
"784","WK049802","1545","Oosterblokker"
"785","WK049803","4300","Venhuizen"
"786","WK049804","1535","Wijdenes"
"787","WK049805","840","Schellinkhout"
"788","WK049806","1650","Hem"
"789","WK049807","105","Oosterleek"
"790","WK171901","550","Drimmelen"
"791","WK171902","12965","Made"
"792","WK171903","6360","Terheijden"
"793","WK171904","2240","Wagenberg"
"794","WK171905","1815","Hooge Zwaluwe en Zevenbergschen Hoek"
"795","WK171906","4260","Lage Zwaluwe"
"796","WK030301","10200","Wijk 01 Dronten west"
"797","WK030302","2210","Wijk 02 Dronten Noord"
"798","WK030303","6915","Wijk 03 Dronten Midden"
"799","WK030304","8920","Wijk 04 Dronten Zuid"
"800","WK030305","2485","Wijk 05 Buitengebied Dronten"
"801","WK030306","7120","Wijk 06 Biddinghuizen"
"802","WK030307","6505","Wijk 07 Swifterbant"
"803","WK022500","165","Druten Buitengebied"
"804","WK022501","7395","Druten"
"805","WK022502","5495","Druten Zuid"
"806","WK022503","1900","Deest"
"807","WK022504","1695","Afferden"
"808","WK022505","1315","Puiflijk"
"809","WK022506","1630","Horssen"
"810","WK022601","10","Wijk 01 Bedrijventerrein"
"811","WK022602","155","Wijk 02 Buitengebied"
"812","WK022603","14045","Wijk 03 Duiven-Noord"
"813","WK022604","7465","Wijk 04 Duiven-Zuid"
"814","WK022605","2025","Wijk 05 Groessen"
"815","WK022606","1180","Wijk 06 Loo"
"816","WK171101","5805","Susteren"
"817","WK171102","805","Dieteren"
"818","WK171103","1205","Heide"
"819","WK171104","1495","Roosteren"
"820","WK171105","7800","Echt"
"821","WK171106","1350","Maria Hoop"
"822","WK171107","6145","Peij"
"823","WK171108","1050","Slek"
"824","WK171109","3315","Nieuwstadt"
"825","WK171110","1410","Sint Joost"
"826","WK171111","1665","Koningsbosch"
"827","WK038500","7340","Wijk 00 Edam"
"828","WK038501","115","Wijk 01 Purmer"
"829","WK038502","22745","Wijk 02 Volendam"
"830","WK038503","525","Wijk 03 Beets"
"831","WK038504","3630","Wijk 04 Oosthuizen"
"832","WK038505","780","Wijk 05 Warder"
"833","WK038506","705","Wijk 06 Middelie"
"834","WK038507","800","Wijk 07 Kwadijk"
"835","WK038508","115","Wijk 08 Schardam"
"836","WK038509","170","Wijk 09 Hobrede"
"837","WK022801","10210","Ede-Oost"
"838","WK022802","15635","Ede-West"
"839","WK022803","14570","Ede-Veldhuizen"
"840","WK022804","7070","Kernhem"
"841","WK022805","3020","Veluwse Poort"
"842","WK022810","13190","Ede-Zuid"
"843","WK022811","6695","Maandereng"
"844","WK022812","7855","Rietkampen"
"845","WK022813","395","Bedrijventerrein"
"846","WK022820","2395","Buitengebied Ede-Stad"
"847","WK022830","15215","Bennekom"
"848","WK022840","13830","Lunteren"
"849","WK022850","3785","Ederveen"
"850","WK022860","500","De Klomp"
"851","WK022870","4010","Harskamp"
"852","WK022880","2895","Wekerom"
"853","WK022890","2280","Otterlo"
"854","WK031702","9755","Eemnes"
"855","WK197901","805","Delfzijl-Centrum"
"856","WK197902","3555","West"
"857","WK197903","2285","Farmsum"
"858","WK197904","3005","Tuikwerd"
"859","WK197905","1510","Fivelzigt"
"860","WK197906","5805","Noord"
"861","WK197907","3795","Buitengebied Noord-Bierum"
"862","WK197908","0","Oosterhorn"
"863","WK197909","4135","Buitengebied Zuid-Termunten"
"864","WK197910","5","Tussengebied"
"865","WK197911","2705","Appingedam-Centrum"
"866","WK197912","4740","Appingedam-Oost"
"867","WK197913","3120","Appingedam-West"
"868","WK197914","220","Buitengebied Noord-Appingedam"
"869","WK197915","110","Buitengebied Zuid-Appingedam"
"870","WK197916","3330","Buitengebied Noord-Loppersum"
"871","WK197917","1565","Buitengebied Noord-Stedum"
"872","WK197918","2485","Buitengebied Noord-Middelstum"
"873","WK197919","1940","Buitengebied Noord-'t Zandt"
"874","WK077000","10860","Eersel"
"875","WK077001","2015","Duizel"
"876","WK077002","1525","Steensel"
"877","WK077003","2210","Vessem"
"878","WK077004","2145","Wintelre"
"879","WK077005","1440","Knegsel"
"880","WK190300","9685","Wijk 00 Eijsden"
"881","WK190301","2890","Wijk 01 Gronsveld"
"882","WK190302","4305","Wijk 02 Margraten"
"883","WK190303","4160","Wijk 03 Cadier en Keer"
"884","WK190304","1960","Wijk 04 Sint Geertruid"
"885","WK190305","3025","Wijk 05 Mheer - Noorbeek"
"886","WK077211","10230","Centrum"
"887","WK077221","12130","Oud-Stratum"
"888","WK077222","8915","Kortonjo"
"889","WK077223","14855","Putten"
"890","WK077231","5740","De Laak"
"891","WK077232","8565","Doornakkers"
"892","WK077233","8930","Oud-Tongelre"
"893","WK077241","12335","Oud-Woensel"
"894","WK077242","18655","Erp"
"895","WK077243","12000","Begijnenbroek"
"896","WK077251","15810","Ontginning"
"897","WK077252","15835","Achtse Molen"
"898","WK077253","20500","Aanschot"
"899","WK077254","13475","Dommelbeemd"
"900","WK077261","15470","Oud-Strijp"
"901","WK077262","11100","Halve Maan"
"902","WK077263","13215","Meerhoven"
"903","WK077271","6985","Rozenknopje"
"904","WK077272","13470","Oud-Gestel"
"905","WK077273","8200","Gestelse Ontginning"
"906","WK023001","12605","Wijk 01 Elburg"
"907","WK023002","7000","Wijk 02 't Harde"
"908","WK023003","4295","Wijk 03 Doornspijk"
"909","WK011401","3370","Wijk 01 Nieuw-Weerdinge"
"910","WK011402","860","Wijk 02 Roswinkel"
"911","WK011403","7730","Wijk 03 Emmer-Compascuum"
"912","WK011404","2040","Wijk 04 Barger-Compascuum"
"913","WK011405","2075","Wijk 05 Nieuw-Dordrecht"
"914","WK011406","4715","Wijk 06 Nieuw-Amsterdam"
"915","WK011407","4750","Wijk 07 Erica"
"916","WK011408","11935","Wijk 08 Klazienaveen"
"917","WK011409","3085","Wijk 09 Zwartemeer"
"918","WK011410","4900","Wijk 10 Schoonebeek"
"919","WK011413","2155","Wijk 13 Veenoord"
"920","WK011421","1300","Wijk 21 Nieuw-Schoonebeek"
"921","WK011432","1655","Wijk 32 Weiteveen"
"922","WK011440","4660","Wijk 40 Emmen-Centrum"
"923","WK011441","3450","Wijk 41 Emmen-Centrum Oost"
"924","WK011442","6030","Wijk 42 Emmermeer"
"925","WK011443","7695","Wijk 43 Angelslo"
"926","WK011444","7085","Wijk 44 Emmerhout"
"927","WK011445","1185","Wijk 45 Emmerschans"
"928","WK011446","8900","Wijk 46 Bargeres"
"929","WK011447","9075","Wijk 47 Rietlanden"
"930","WK011448","2125","Wijk 48 Parc Sandur"
"931","WK011449","2460","Wijk 49 Delftlanden"
"932","WK011450","2985","Wijk 50 Barger-Oosterveld"
"933","WK011451","1600","Wijk 51 Kern Emmen Noord"
"934","WK011452","1495","Wijk 52 Kern Emmen Zuid"
"935","WK011453","30","Wijk 53 Kern Emmen Industrieterreinen"
"936","WK038800","7240","Centrum en Havens"
"937","WK038801","11265","Enkhuizen Noord"
"938","WK038802","135","Enkhuizen Buitengebied"
"939","WK038803","255","Enkhuizen Zuid"
"940","WK038810","0","Buitengebied IJsselmeer en Markermeer"
"941","WK015300","28505","Wijk 00 Binnensingelgebied"
"942","WK015301","12505","Wijk 01 Hogeland - Velve"
"943","WK015302","21525","Wijk 02 Boswinkel - Stadsveld"
"944","WK015303","9035","Wijk 03 Twekkelerveld - T.H.T."
"945","WK015304","20490","Wijk 04 Enschede-Noord"
"946","WK015305","8715","Wijk 05 Ribbelt - Stokhorst"
"947","WK015306","33685","Wijk 06 Enschede-Zuid"
"948","WK015307","295","Wijk 07 Bedrijfsterreinen Enschede-West"
"949","WK015308","16660","Wijk 08 Glanerbrug en omgeving"
"950","WK015309","10320","Wijk 09 Landelijk gebied en kernen"
"951","WK023200","15700","Wijk 00 Epe"
"952","WK023201","3220","Wijk 01 Emst"
"953","WK023202","12645","Wijk 02 Vaassen"
"954","WK023203","1600","Wijk 03 Oene"
"955","WK023300","18930","Schil rondom het centrum"
"956","WK023301","2970","Centrum Ermelo"
"957","WK023302","1270","Tonsel en Veldzicht"
"958","WK023303","3695","Buitengebied west"
"959","WK023304","210","Buitengebied midden"
"960","WK023305","785","Buitengebied oost"
"961","WK077700","10420","Midden woongebied"
"962","WK077701","5","Midden Bedrijventerrein"
"963","WK077702","210","Midden landelijk gebied"
"964","WK077710","19620","Noord woongebied"
"965","WK077711","25","Noord bedrijventerrein"
"966","WK077712","755","Noord landelijk gebied"
"967","WK077720","12835","Zuid woongebied"
"968","WK077721","190","Zuid bedrijventerrein West"
"969","WK077722","0","Zuid bedrijventerrein Oost"
"970","WK077723","1185","Zuid landelijk gebied"
"971","WK194001","115","Wijk 01 Akmarijp"
"972","WK194002","1030","Wijk 02 Bakhuizen"
"973","WK194003","4340","Wijk 03 Balk"
"974","WK194004","675","Wijk 04 Bantega"
"975","WK194005","95","Wijk 05 Boornzwaag"
"976","WK194006","285","Wijk 06 Broek"
"977","WK194007","515","Wijk 07 Delfstrahuizen"
"978","WK194008","50","Wijk 08 Dijken"
"979","WK194009","85","Wijk 09 Doniaga"
"980","WK194010","255","Wijk 10 Echten"
"981","WK194011","1010","Wijk 11 Echtenerbrug"
"982","WK194012","50","Wijk 12 Eesterga"
"983","WK194013","355","Wijk 13 Elahuizen"
"984","WK194014","185","Wijk 14 Follega"
"985","WK194015","240","Wijk 15 Goingarijp"
"986","WK194016","520","Wijk 16 Harich"
"987","WK194017","535","Wijk 17 Haskerhorne"
"988","WK194018","490","Wijk 18 Idskenhuizen"
"989","WK194019","12970","Wijk 19 Joure"
"990","WK194020","40","Wijk 20 Kolderwolde"
"991","WK194021","1045","Wijk 21 Langweer"
"992","WK194022","130","Wijk 22 Legemeer"
"993","WK194023","10355","Wijk 23 Lemmer"
"994","WK194024","105","Wijk 24 Mirns"
"995","WK194025","50","Wijk 25 Nijehaske"
"996","WK194026","565","Wijk 26 Nijemirdum"
"997","WK194027","80","Wijk 27 Oldeouwer"
"998","WK194028","885","Wijk 28 Oosterzee"
"999","WK194029","295","Wijk 29 Oudega"
"1000","WK194030","1855","Wijk 30 Oudehaske"
"1001","WK194031","1380","Wijk 31 Oudemirdum"
"1002","WK194032","360","Wijk 32 Ouwsterhaule"
"1003","WK194033","80","Wijk 33 Ouwster-Nijega"
"1004","WK194034","175","Wijk 34 Rijs"
"1005","WK194035","230","Wijk 35 Rohel"
"1006","WK194036","180","Wijk 36 Rotstergaast"
"1007","WK194037","590","Wijk 37 Rotsterhaule"
"1008","WK194038","765","Wijk 38 Rottum"
"1009","WK194039","110","Wijk 39 Ruigahuizen"
"1010","WK194040","785","Wijk 40 Scharsterbrug"
"1011","WK194041","3335","Wijk 41 Sint Nicolaasga"
"1012","WK194042","1240","Wijk 42 Sinjohannesga"
"1013","WK194043","695","Wijk 43 Sloten"
"1014","WK194044","65","Wijk 44 Snikzwaag"
"1015","WK194045","405","Wijk 45 Sondel"
"1016","WK194046","720","Wijk 46 Terherne"
"1017","WK194047","225","Wijk 47 Terkaple"
"1018","WK194048","25","Wijk 48 Teroele"
"1019","WK194049","350","Wijk 49 Tjerkgaast"
"1020","WK194050","380","Wijk 50 Vegelinsoord"
"1021","WK194051","645","Wijk 51 Wijckel"
"1022","WK077900","12550","Wijk 00 Raamsdonksveer"
"1023","WK077901","2280","Wijk 01 Raamsdonk"
"1024","WK077902","7230","Wijk 02 Geertruidenberg"
"1025","WK177100","29480","Geldrop"
"1026","WK177101","11255","Mierlo"
"1027","WK165200","4820","Wijk 00 Gemert-Centrum"
"1028","WK165201","5940","Wijk 01 Gemert-Noord"
"1029","WK165202","6450","Wijk 02 Gemert-Oost"
"1030","WK165203","1870","Wijk 03 Handel"
"1031","WK165204","1695","Wijk 04 De Mortel"
"1032","WK165205","1110","Wijk 05 Elsendorp"
"1033","WK165206","6090","Wijk 06 Bakel"
"1034","WK165207","2290","Wijk 07 Milheeze"
"1035","WK165208","1170","Wijk 08 De Rips"
"1036","WK090700","2880","Wijk 00 Milsbeek"
"1037","WK090701","2040","Wijk 01 Ottersum"
"1038","WK090702","785","Wijk 02 Ven-Zelderheide"
"1039","WK090703","9565","Wijk 03 Gennep"
"1040","WK090704","2520","Wijk 04 Heijen"
"1041","WK078401","16790","Rijen"
"1042","WK078402","8885","Gilze"
"1043","WK078403","450","Hulten"
"1044","WK078404","1220","Molenschot"
"1045","WK192400","2285","Goedereede"
"1046","WK192401","6340","Ouddorp"
"1047","WK192402","3660","Stellendam"
"1048","WK192403","7820","Middelharnis"
"1049","WK192404","2685","Ooltgensplaat"
"1050","WK192405","1735","Den Bommel"
"1051","WK192406","5290","Oude-Tonge"
"1052","WK192407","6030","Dirksland"
"1053","WK192408","2205","Melissant"
"1054","WK192409","1305","Herkingen"
"1055","WK192410","7475","Sommelsdijk"
"1056","WK192411","2395","Nieuwe-Tonge"
"1057","WK192412","1540","Stad aan 't Haringvliet"
"1058","WK192413","1100","Achthuizen"
"1059","WK066401","29590","Wijk 01 Goes"
"1060","WK066402","795","Wijk 02 Wilhelminadorp"
"1061","WK066403","3495","Wijk 03 Kloetinge"
"1062","WK066404","550","Wijk 04 Kattendijke"
"1063","WK066405","1385","Wijk 05 's-Heer-Arendskerke"
"1064","WK066406","210","Wijk 06 Eindewege"
"1065","WK066407","1325","Wijk 07 's-Heer-Hendrikskinderen"
"1066","WK066408","2060","Wijk 08 Wolphaartsdijk"
"1067","WK066409","275","Wijk 09 Oud-Sabbinge"
"1068","WK078501","1230","Wijk 01 Goirle-Centrum"
"1069","WK078502","1945","Wijk 02 Grobbendonck"
"1070","WK078503","1995","Wijk 03 De Groote Akkers"
"1071","WK078504","1050","Wijk 04 De Hoge Wal"
"1072","WK078505","1575","Wijk 05 Abcoven"
"1073","WK078506","2305","Wijk 06 Wildackers"
"1074","WK078507","1595","Wijk 07 't Ven"
"1075","WK078508","2290","Wijk 08 De Boschkens"
"1076","WK078509","4230","Wijk 09 De Hellen"
"1077","WK078510","655","Wijk 10 De Nieuwe Erven"
"1078","WK078511","1935","Wijk 11 Hoogeind"
"1079","WK078512","0","Wijk 12 Sportpark Van den Wildenberg"
"1080","WK078513","225","Wijk 13 Bedrijventerrein Tijvoort"
"1081","WK078514","295","Wijk 14 Verspreide huizen Goirle"
"1082","WK078520","2625","Wijk 20 Riel"
"1083","WK078521","140","Wijk 21 Bedrijventerrein Riel"
"1084","WK078522","0","Wijk 22 Sportpark De Krim"
"1085","WK078523","235","Wijk 23 Verspriede huizen Riel"
"1086","WK194200","10730","Bussum Centrum"
"1087","WK194201","3925","Brediuskwartier"
"1088","WK194202","13765","Eng"
"1089","WK194203","5155","Spiegel"
"1090","WK194204","8565","Muiden"
"1091","WK194205","18225","Naarden"
"1092","WK051201","5865","Wijk 01 Gorinchem binnenstad"
"1093","WK051202","1765","Wijk 02 Wijdschild"
"1094","WK051203","3060","Wijk 03 Lingewijk"
"1095","WK051204","6190","Wijk 04 haarwijk"
"1096","WK051205","3235","Wijk 05 Stalkaarsen"
"1097","WK051206","5260","Wijk 06 Gildenwijk"
"1098","WK051207","290","Wijk 07 Schelluinsestraat"
"1099","WK051208","50","Wijk 08 Avelingen Oost"
"1100","WK051209","35","Wijk 09 Avelingen West"
"1101","WK051210","55","Wijk 10 Molenvliet"
"1102","WK051211","8035","Wijk 11 laag Dalem"
"1103","WK051212","855","Wijk 12 Dalem"
"1104","WK051213","3575","Wijk 13 Hoog Dalem"
"1105","WK051214","45","Wijk 14 Bedrijventerrein Oost"
"1106","WK051215","60","Wijk 15 Papland"
"1107","WK051216","125","Wijk 16 schotdeuren"
"1108","WK051217","20","Wijk 17 Bedrijventerrein Noord"
"1109","WK051218","100","Wijk 18 Landelijk gebied West"
"1110","WK051219","20","Wijk 19 Landelijk gebied Noord"
"1111","WK051220","20","Wijk 20 Landelijk gebied Oost"
"1112","WK051221","10","Wijk 21 Landelijk gebied Zuid"
"1113","WK051301","8550","Binnenstad"
"1114","WK051302","9685","De Korte Akkeren"
"1115","WK051303","9980","Bloemendaal"
"1116","WK051304","12430","Plaswijck"
"1117","WK051305","10615","Noord"
"1118","WK051306","9995","Kort Haarlem"
"1119","WK051307","10680","Goverwelle"
"1120","WK051308","435","Stolwijkersluis"
"1121","WK051309","3385","Westergouwe"
"1122","WK051801","0","Wijk 01 Oostduinen"
"1123","WK051802","8385","Wijk 02 Belgisch Park"
"1124","WK051803","2405","Wijk 03 Westbroekpark en Duttendel"
"1125","WK051804","14920","Wijk 04 Benoordenhout"
"1126","WK051805","6360","Wijk 05 Archipelbuurt"
"1127","WK051806","810","Wijk 06 Van Stolkpark en Scheveningse Bo"
"1128","WK051807","19155","Wijk 07 Scheveningen"
"1129","WK051808","5785","Wijk 08 Duindorp"
"1130","WK051809","14955","Wijk 09 Geuzen- en Statenkwartier"
"1131","WK051810","720","Wijk 10 Zorgvliet"
"1132","WK051811","8815","Wijk 11 Duinoord"
"1133","WK051812","14940","Wijk 12 Bomen- en Bloemenbuurt"
"1134","WK051813","5490","Wijk 13 Vogelwijk"
"1135","WK051814","4955","Wijk 14 Bohemen en Meer en Bos"
"1136","WK051815","3380","Wijk 15 Kijkduin en Ockenburgh"
"1137","WK051816","9660","Wijk 16 Kraayenstein en Vroondaal"
"1138","WK051817","17930","Wijk 17 Loosduinen"
"1139","WK051818","17760","Wijk 18 Waldeck"
"1140","WK051819","9895","Wijk 19 Vruchtenbuurt"
"1141","WK051820","18530","Wijk 20 Valkenboskwartier"
"1142","WK051821","14420","Wijk 21 Regentessekwartier"
"1143","WK051822","12775","Wijk 22 Zeeheldenkwartier"
"1144","WK051823","1745","Wijk 23 Willemspark"
"1145","WK051824","465","Wijk 24 Haagse Bos"
"1146","WK051825","15640","Wijk 25 Mariahoeve en Marlot"
"1147","WK051826","19835","Wijk 26 Bezuidenhout"
"1148","WK051827","13015","Wijk 27 Stationsbuurt"
"1149","WK051828","22090","Wijk 28 Centrum"
"1150","WK051829","30700","Wijk 29 Schildersbuurt"
"1151","WK051830","16365","Wijk 30 Transvaalkwartier"
"1152","WK051831","19045","Wijk 31 Rustenburg en Oostbroek"
"1153","WK051832","17040","Wijk 32 Leyenburg"
"1154","WK051833","29530","Wijk 33 Bouwlust"
"1155","WK051834","20735","Wijk 34 Morgenstond"
"1156","WK051835","155","Wijk 35 Zuiderpark"
"1157","WK051836","21555","Wijk 36 Moerwijk"
"1158","WK051837","7355","Wijk 37 Groente- en Fruitmarkt"
"1159","WK051838","44735","Wijk 38 Laakkwartier en Spoorwijk"
"1160","WK051839","2075","Wijk 39 Binckhorst"
"1161","WK051840","23865","Wijk 40 Wateringse Veld"
"1162","WK051841","915","Wijk 41 Hoornwijk"
"1163","WK051842","26695","Wijk 42 Ypenburg"
"1164","WK051843","145","Wijk 43 Forepark"
"1165","WK051844","20465","Wijk 44 Leidschenveen"
"1166","WK001400","24920","Centrum"
"1167","WK001401","22200","Oud-Zuid"
"1168","WK001402","14600","Oud-West"
"1169","WK001403","19120","Oud-Noord"
"1170","WK001404","12970","Oosterparkwijk"
"1171","WK001405","3525","Zuidoost"
"1172","WK001406","19725","Helpman e.o."
"1173","WK001407","10740","Zuidwest"
"1174","WK001408","11335","Hoogkerk e.o."
"1175","WK001409","19570","Nieuw-West"
"1176","WK001410","19600","Noordwest"
"1177","WK001411","15580","Noordoost"
"1178","WK001412","16160","Noorddijk e.o."
"1179","WK001413","1075","Meerdorpen"
"1180","WK001414","4390","Meerstad e.o."
"1181","WK001415","5850","Ten Boer e.o."
"1182","WK001416","1320","Ten Post e.o."
"1183","WK001417","13400","Haren-West e.o."
"1184","WK001418","5025","Haren-Oost e.o."
"1185","WK001419","2645","Glimmen-Onnen-Noordlaren"
"1186","WK172900","4650","Wijk 00 Gulpen"
"1187","WK172901","2485","Wijk 01 Wijlre"
"1188","WK172902","1640","Wijk 02 Eys"
"1189","WK172903","1930","Wijk 03 Wittem"
"1190","WK172904","1720","Wijk 04 Mechelen"
"1191","WK172905","1025","Wijk 05 Epen"
"1192","WK172906","605","Wijk 06 Slenaken"
"1193","WK015800","17205","Wijk 00 Haaksbergen (dorp)"
"1194","WK015801","2645","Wijk 01 Haaksbergen (buitengebied)"
"1195","WK015802","1335","Wijk 02 Sint Isidorushoeve"
"1196","WK015803","1505","Wijk 03 Buurse"
"1197","WK015804","235","Wijk 04 Rietmolen"
"1198","WK015805","125","Wijk 05 Hengevelde"
"1199","WK015806","165","Wijk 06 Beckum"
